angle_deg,E_S0_au,S1_vert_eV,E_S1_au,f_S1,S2_vert_eV,E_S2_au,f_S2
0,,2.9985,-572.43880148,0.0233718180,4.8225,-572.37177250,0.1263026971
15,,2.7693,-572.44683566,0.0379723273,4.6891,-572.37628414,0.1413692296
30,,2.3906,-572.45610420,0.0491817405,4.5194,-572.37787264,0.1536733286
45,,1.8944,-572.46530749,0.0533181490,4.3158,-572.37632099,0.1543637457
60,,1.3224,-572.47273837,0.0483164995,4.0989,-572.37070636,0.1344509496
75,,0.7182,-572.47757298,0.0336904576,3.8444,-572.36268607,0.0202908039
90,,0.1227,-572.48033375,0.0071295369,3.4499,-572.35806058,0.0147838610
105,,0.7598,-572.47764556,0.0361100422,3.8344,-572.36465908,0.0135167629
120,,1.3259,-572.47734346,0.0571272734,4.1855,-572.37225590,0.0068937494
135,,1.8938,-572.47453092,0.0692373932,4.3734,-572.38340980,0.6982784308
150,,2.3744,-572.47068747,0.0635948257,4.4060,-572.39602970,0.8786879276
165,,2.7136,-572.46667471,0.0336419550,4.3616,-572.40611156,0.9579032927
180,,2.8510,-572.46428702,0.0030663468,4.3099,-572.41067427,0.9949817228
