name,S1_vert_eV,E_S1_au,f_S1,S2_vert_eV,E_S2_au,f_S2
cis_vert_gas.qcout,2.9180,-572.44210988,0.0300180562,4.7704,-572.37403675,0.1328376714
cis_vert_solv.qcout,2.9747,-572.45364600,0.0418148822,4.6038,-572.39377797,0.1645058649
cis_vert_solv_37.5.qcout,2.9734,-572.45346702,0.0416585398,4.6066,-572.39344601,0.1650761267
cis_vert_solv_Cyclohexane_eps2.0.qcout,2.9294,-572.44801996,0.0376668926,4.6830,-572.38357709,0.1792457420
cis_vert_solv_THF_eps7.6.qcout,2.9636,-572.45215704,0.0405684068,4.6269,-572.39103025,0.1690528708
trans_vert_gas.qcout,2.8384,-572.46490750,0.0000004151,4.2863,-572.41169655,1.0093334285
trans_vert_solv.qcout,2.8838,-572.47279781,0.0000006674,4.0712,-572.42916207,1.0881410957
trans_vert_solv_37.5.qcout,2.8826,-572.47268483,0.0000006645,4.0726,-572.42895244,1.0884524525
trans_vert_solv_Cyclohexane_eps2.0.qcout,2.8474,-572.46906303,0.0000005896,4.1117,-572.42259825,1.0971435184
trans_vert_solv_THF_eps7.6.qcout,2.8739,-572.47184531,0.0000006441,4.0828,-572.42741965,1.0906806214
